 Joe Ingles<>PF<>UTA<>707<>373<>278<>65<>72<>
 Brandon Ingram<>PF<>NOP<>1477<>259<>380<>61<>62<>
 Kyrie Irving<>PG<>BRK<>548<>128<>103<>27<>20<>
 Jonathan Isaac<>PF<>ORL<>404<>48<>231<>53<>34<>
 Wes Iwundu<>SF<>ORL<>300<>60<>131<>25<>52<>
 Frank Jackson<>PG<>NOP<>371<>61<>83<>17<>59<>
 Jaren Jackson Jr.<>C<>MEM<>990<>78<>262<>40<>57<>
 Josh Jackson<>SF<>MEM<>198<>35<>66<>18<>22<>
 Justin Jackson<>PF<>DAL<>360<>52<>154<>15<>65<>
 Reggie Jackson<>SG-PG<>none<>370<>126<>92<>13<>31<>
 Reggie Jackson<>PG<>DET<>209<>72<>41<>8<>14<>
 Reggie Jackson<>SG<>LAC<>161<>54<>51<>5<>17<>
 Justin James<>SF<>SAC<>89<>18<>32<>6<>36<>
 LeBron James<>PG<>LAL<>1698<>684<>525<>78<>67<>
 Amile Jefferson<>PF<>ORL<>15<>4<>23<>1<>18<>
 DaQuan Jeffries<>SG<>SAC<>50<>7<>18<>4<>13<>
 Ty Jerome<>SG<>PHO<>102<>44<>46<>15<>31<>
 Alize Johnson<>PF<>IND<>34<>7<>48<>3<>17<>
 B.J. Johnson<>SF<>ORL<>30<>3<>15<>3<>10<>
 Cameron Johnson<>PF<>PHO<>504<>69<>187<>36<>57<>
 James Johnson<>PF-C<>none<>270<>74<>118<>25<>32<>
 James Johnson<>PF<>MIA<>102<>21<>52<>6<>18<>
 James Johnson<>C<>MIN<>168<>53<>66<>19<>14<>
 Keldon Johnson<>SF<>SAS<>154<>15<>57<>14<>17<>
 Stanley Johnson<>PF<>TOR<>60<>20<>37<>6<>25<>
 Tyler Johnson<>PG-SG<>none<>274<>74<>76<>16<>39<>
 Tyler Johnson<>PG<>PHO<>178<>50<>52<>12<>31<>
 Tyler Johnson<>SG<>BRK<>96<>24<>24<>4<>8<>
 Nikola Jokić<>C<>DEN<>1456<>512<>711<>85<>73<>
 Damian Jones<>C<>ATL<>306<>35<>206<>26<>55<>
 Derrick Jones Jr.<>SF<>MIA<>500<>62<>233<>58<>59<>
 Tyus Jones<>PG<>MEM<>484<>285<>103<>59<>65<>
 DeAndre Jordan<>C<>BRK<>465<>105<>561<>18<>56<>
 Cory Joseph<>PG<>SAC<>458<>251<>188<>53<>72<>
 Mfiondu Kabengele<>C<>LAC<>42<>2<>11<>2<>12<>
 Frank Kaminsky<>C<>PHO<>378<>75<>176<>14<>39<>
 Luke Kennard<>SG<>DET<>442<>115<>98<>12<>28<>
 Stanton Kidd<>SG<>UTA<>0<>1<>3<>0<>4<>
 Michael Kidd-Gilchrist<>PF<>none<>60<>14<>67<>2<>25<>
 Michael Kidd-Gilchrist<>PF<>CHO<>48<>10<>35<>0<>12<>
 Michael Kidd-Gilchrist<>PF<>DAL<>12<>4<>32<>2<>13<>
 Louis King<>SF<>DET<>20<>5<>10<>2<>10<>
 Maxi Kleber<>PF<>DAL<>672<>88<>388<>25<>74<>
 Brandon Knight<>SG-PG<>none<>183<>69<>41<>10<>25<>
 Brandon Knight<>SG<>CLE<>79<>31<>20<>5<>16<>
 Brandon Knight<>PG<>DET<>104<>38<>21<>5<>9<>
 Kevin Knox<>SF<>NYK<>419<>61<>184<>23<>65<>
 John Konchar<>SG<>MEM<>54<>22<>47<>7<>19<>
 Furkan Korkmaz<>SG<>PHI<>704<>79<>168<>41<>72<>
 Luke Kornet<>C<>CHI<>215<>32<>84<>11<>36<>
 Kyle Korver<>SF<>MIL<>386<>68<>122<>26<>58<>
 Rodions Kurucs<>PF<>BRK<>215<>51<>137<>25<>47<>
 Kyle Kuzma<>PF<>LAL<>782<>80<>273<>28<>61<>
 Skal Labissière<>C<>POR<>190<>42<>169<>7<>33<>
 Jeremy Lamb<>SG<>IND<>577<>96<>200<>55<>46<>
 Romeo Langford<>SG<>BOS<>79<>13<>41<>8<>32<>
 Zach LaVine<>SF<>CHI<>1530<>254<>289<>88<>60<>
